Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD1,Kolkata,Indian Statistical Institute,1st,Cybersecurity,LinkedIn
LD2,Kolkata,Indian Statistical Institute,1st,Artificial Intelligence,College Collaboration
LD3,Bengaluru,RV College of Engineering,2nd,Cybersecurity,College Collaboration
LD4,Kolkata,Indian Statistical Institute,3rd,Artificial Intelligence,LinkedIn
LD5,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Electric Vehicles,Google Form
LD6,Ahmedabad,Nirma University,2nd,Artificial Intelligence,College Collaboration
LD7,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Electric Vehicles,College Collaboration
LD8,Bengaluru,Indian Institute of Science (IISc),2nd,Cybersecurity,Whatsapp
LD9,Delhi,Guru Gobind Singh Indraprastha University,3rd,Data Science,College Collaboration
LD10,Ahmedabad,Nirma University,2nd,Business Administration,College Collaboration
LD11,Ahmedabad,Nirma University,3rd,Robotics,LinkedIn
LD12,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Data Science,Instagram
LD13,Pune,MIT World Peace University,2nd,Data Science,Google Form
LD14,Bengaluru,Christ University,2nd,Artificial Intelligence,LinkedIn
LD15,Delhi,University of Delhi,3rd,Business Administration,Google Form
LD16,Pune,Bharati Vidyapeeth Deemed University,4th,Environmental Science,Instagram
LD17,Hyderabad,Jawaharlal Nehru Technological University (JNTU),4th,Robotics,LinkedIn
LD18,Bengaluru,Indian Institute of Science (IISc),3rd,Data Science,College Collaboration
LD19,Indore,Indian Institute of Management Indore (IIM-I),3rd,Robotics,Instagram
LD20,Chennai,SRM Institute of Science and Technology,3rd,Artificial Intelligence,College Collaboration
LD21,Ahmedabad,Nirma University,3rd,Cybersecurity,LinkedIn
LD22,Ahmedabad,Gujarat University,4th,Environmental Science,Google Form
LD23,Indore,Indian Institute of Management Indore (IIM-I),2nd,Biotechnology,LinkedIn
LD24,Kolkata,Jadavpur University,4th,Robotics,Instagram
LD25,Indore,Indian Institute of Management Indore (IIM-I),2nd,Business Administration,Mass-Mailing
LD26,Indore,Indian Institute of Management Indore (IIM-I),2nd,Artificial Intelligence,Instagram
LD27,Bengaluru,Indian Institute of Science (IISc),4th,Electric Vehicles,College Collaboration
LD28,Bengaluru,Indian Institute of Science (IISc),4th,Robotics,Instagram
LD29,Delhi,Delhi Technological University (DTU),2nd,Cybersecurity,LinkedIn
LD30,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Business Administration,Google Form
LD31,Pune,Symbiosis International University,3rd,Environmental Science,LinkedIn
LD32,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Business Administration,LinkedIn
LD33,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,Instagram
LD34,Hyderabad,International Institute of Information Technology (IIIT-H),2nd,Robotics,Instagram
LD35,Pune,University of Pune (Savitribai Phule Pune University),2nd,Data Science,Google Form
LD36,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Environmental Science,College Collaboration
LD37,Ahmedabad,Nirma University,2nd,Robotics,Google Form
LD38,Hyderabad,Jawaharlal Nehru Technological University (JNTU),4th,Data Science,Google Form
LD39,Mumbai,Indian Institute of Technology Bombay (IIT-B),3rd,Artificial Intelligence,Mass-Mailing
LD40,Mumbai,Sardar Patel Institute of Technology,2nd,Artificial Intelligence,LinkedIn
LD41,Delhi,Lady Shri Ram College for Women,4th,Data Science,College Collaboration
LD42,Kolkata,University of Calcutta,4th,Business Administration,Mass-Mailing
LD43,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Biotechnology,LinkedIn
LD44,Delhi,Lady Shri Ram College for Women,2nd,Robotics,College Collaboration
LD45,Kolkata,Indian Statistical Institute,2nd,Artificial Intelligence,LinkedIn
LD46,Ahmedabad,Nirma University,2nd,Environmental Science,Instagram
LD47,Ahmedabad,Nirma University,4th,Artificial Intelligence,College Collaboration
LD48,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Biotechnology,Instagram
LD49,Bengaluru,Christ University,3rd,Biotechnology,College Collaboration
LD50,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Biotechnology,Instagram
LD51,Ahmedabad,Gujarat University,4th,Electric Vehicles,Instagram
LD52,Delhi,Guru Gobind Singh Indraprastha University,4th,Business Administration,Mass-Mailing
LD53,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Cybersecurity,LinkedIn
LD54,Pune,University of Pune (Savitribai Phule Pune University),1st,Robotics,College Collaboration
LD55,Ahmedabad,Gujarat University,2nd,Data Science,Mass-Mailing
